Gép;Pozíció;Cikkszám;Model;Msd;Msd szint;Idõ
2;210;CH_CPRES15935A;Chrony IVI;Nem;Nincs;-
2;211;CH_CPRES15946A;Chrony IVI;Nem;Nincs;-
2;212;CH_CPRES15958A;Chrony IVI;Nem;Nincs;-
2;213;CH_CPRES16002A;Chrony IVI;Nem;Nincs;-
2;214;CH_CPRES16008A;Chrony IVI;Nem;Nincs;-
2;215;CH_CPRES16021A;Chrony IVI;Nem;Nincs;-
2;216;CH_CPRES16063A;Chrony IVI;Nem;Nincs;-
2;217;CH_CPRES16070A;Chrony IVI;Nem;Nincs;-
2;218;CH_CPRES16074A;Chrony IVI;Nem;Nincs;-
2;219;CH_CPRES16076A;Chrony IVI;Nem;Nincs;-
2;220;CH_CPRES16078A;Chrony IVI;Nem;Nincs;-
2;221;CH_CPRES16088A;Chrony IVI;Nem;Nincs;-
2;222;CH_CPRES16157A;Chrony IVI;Nem;Nincs;-
2;223;CH_CPRES16163A;Chrony IVI;Nem;Nincs;-
2;224;CH_CPRES16211A;Chrony IVI;Nem;Nincs;-
2;225;CH_CPRES16225A;Chrony IVI;Nem;Nincs;-
2;226;CH_CPRES16245A;Chrony IVI;Nem;Nincs;-
2;227;CH_CPRES16259A;Chrony IVI;Nem;Nincs;-
2;228;CH_CPRES16367A;Chrony IVI;Nem;Nincs;-
2;229;CH_CPRES16372A;Chrony IVI;Nem;Nincs;-
2;230;CH_CPRES16535A;Chrony IVI;Nem;Nincs;-
2;231;CH_CPCAP11028A;Chrony IVI;Nem;Nincs;-
2;232;CH_CPCAP11252A;Chrony IVI;Nem;Nincs;-
2;233;CH_CPFER00073A;Chrony IVI;Nem;Nincs;-
2;234;CH_CPFER00110A;Chrony IVI;Nem;Nincs;-
2;235;CH_CPFER00111A;Chrony IVI;Nem;Nincs;-
2;236;CH_CPIND00337A;Chrony IVI;Nem;Nincs;-
2;237;CH_CPRES14829A;Chrony IVI;Nem;Nincs;-
2;238;CH_CPCAP02862A;Chrony IVI;Nem;Nincs;-
2;239;CH_CPCAP04054A;Chrony IVI;Nem;Nincs;-
2;240;CH_CPCAP04057A;Chrony IVI;Nem;Nincs;-
2;241;CH_CPCAP10009A;Chrony IVI;Nem;Nincs;-
2;242;CH_CPCAP10013A;Chrony IVI;Nem;Nincs;-
2;243;CH_CPCAP10095A;Chrony IVI;Nem;Nincs;-
2;244;CH_CPCAP10447A;Chrony IVI;Nem;Nincs;-
2;245;CH_CPCAP10455A;Chrony IVI;Nem;Nincs;-
2;246;CH_CPCAP10845A;Chrony IVI;Nem;Nincs;-
2;247;CH_CPCAP10849A;Chrony IVI;Nem;Nincs;-
2;248;CH_CPCAP10850A;Chrony IVI;Nem;Nincs;-
2;249;CH_CPCAP10858A;Chrony IVI;Nem;Nincs;-
2;250;CH_CPCAP10859A;Chrony IVI;Nem;Nincs;-
2;251;CH_CPCAP12152A;Chrony IVI;Nem;Nincs;-
2;252;CH_CPCAP12166A;Chrony IVI;Nem;Nincs;-
2;253;CH_CPCAP12189A;Chrony IVI;Nem;Nincs;-
2;254;CH_CPDIO00414A;Chrony IVI;Nem;Nincs;-
2;255;CH_CPDIO00585A;Chrony IVI;Nem;Nincs;-
2;256;CH_CPFER00579A;Chrony IVI;Nem;Nincs;-
2;257;CH_CPIND01473A;Chrony IVI;Nem;Nincs;-
2;258;CH_CPRES05436A;Chrony IVI;Nem;Nincs;-
2;259;CH_CPRES05750A;Chrony IVI;Nem;Nincs;-
3;101;CH_CPIND01520A;Chrony IVI;Nem;Nincs;-
3;107;CH_CPCON02265A;Chrony IVI;Nem;Nincs;-
3;109;CH_CPICS03280A;Chrony IVI;Igen;3;168 óra (7nap)
3;111;CH_CPICS03369A;Chrony IVI;Nem;Nincs;-
3;113;CH_CPIND01958A;Chrony IVI;Nem;Nincs;-
3;115;CH_CPDIO00398A;Chrony IVI;Nem;Nincs;-
3;117;CH_CPICS02990A;Chrony IVI;Igen;3;168 óra (7nap)
3;119;CH_CPCAP04586A;Chrony IVI;Nem;Nincs;-
3;201;CH_CPIND00263A;Chrony IVI;Nem;Nincs;-
3;203;CH_CPIND00321A;Chrony IVI;Nem;Nincs;-
3;204;CH_CPRES12456A;Chrony IVI;Nem;Nincs;-
3;205;CH_CPIND01521A;Chrony IVI;Nem;Nincs;-
3;207;CH_CPIND01648A;Chrony IVI;Nem;Nincs;-
3;209;CH_CPIND01827A;Chrony IVI;Nem;Nincs;-
3;211;CH_CPRES05767A;Chrony IVI;Nem;Nincs;-
3;213;CH_CPRES05768A;Chrony IVI;Nem;Nincs;-
3;215;CH_CPRES05774A;Chrony IVI;Nem;Nincs;-
3;217;CH_CPRES05779A;Chrony IVI;Nem;Nincs;-
3;219;CH_CPRES12952A;Chrony IVI;Nem;Nincs;-
3;220;CH_CPRES13011A;Chrony IVI;Nem;Nincs;-
3;221;CH_CPRES14559A;Chrony IVI;Nem;Nincs;-
3;222;CH_CPRES15551A;Chrony IVI;Nem;Nincs;-
3;223;CH_CPRES15979A;Chrony IVI;Nem;Nincs;-
3;224;CH_CPRES15982A;Chrony IVI;Nem;Nincs;-
3;225;CH_CPTRT00338A;Chrony IVI;Nem;Nincs;-
3;227;CH_CPXOS00125A;Chrony IVI;Nem;Nincs;-
3;228;CH_CPXTA00122A;Chrony IVI;Nem;Nincs;-
3;229;CH_CPXTA00125A;Chrony IVI;Nem;Nincs;-
3;230;CH_CPCAP02204A;Chrony IVI;Nem;Nincs;-
3;231;CH_CPCAP03591A;Chrony IVI;Nem;Nincs;-
3;232;CH_CPCAP03774A;Chrony IVI;Nem;Nincs;-
3;233;CH_CPCAP04168A;Chrony IVI;Nem;Nincs;-
3;235;CH_CPCAP10616A;Chrony IVI;Nem;Nincs;-
3;236;CH_CPCAP10633A;Chrony IVI;Nem;Nincs;-
